# File Name: D:\QS6 Results\BWS_QS6_METHYLATION_2135_031325_20250313_132035.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: Naga
# Instrument Serial Number: 2778620090015
# Heated Cover Serial Number: 2779320070495
# Block Serial Number: 2778320080534
# Run Start Date/Time: 2025-03-13 01:20:59 PM EDT
# Run End Date/Time: 2025-03-13 03:57:24 PM EDT
# Run Duration: 156 minutes 24 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2025-03-13 03:57:38 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Relative Quantification v1.5.0
# Exported On: 2025-03-15 08:12:04 PM EDT
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"30","B6","false","BWR-5947-1","ICR2_UM","UNKNOWN","VIC","NFQ-MGB","Amp","1.2694773010462548","","","27.743005030673693","0.9701074276136087","27.79371808529031","0.07927899365722138","false","0.2","true","3","23"
"30","B6","false","BWR-5947-1","ICR2_M","UNKNOWN","FAM","NFQ-MGB","Amp","1.3288440847274423","","","27.39908341883224","0.8866128633813978","27.45054263889309","0.1748851240963135","false","0.2","true","3","22"
"31","B7","false","BWR-5947-1","ICR2_UM","UNKNOWN","VIC","NFQ-MGB","Amp","1.2647787011754577","","","27.85665582071602","0.9695960781453736","27.79371808529031","0.07927899365722138","false","0.2","true","3","22"
"31","B7","false","BWR-5947-1","ICR2_M","UNKNOWN","FAM","NFQ-MGB","Amp","1.3220055200670666","","","27.486360457629786","0.8788839712254921","27.45054263889309","0.1748851240963135","false","0.2","true","3","22"
"32","B8","false","BWR-5947-1","ICR2_UM","UNKNOWN","VIC","NFQ-MGB","Amp","1.2605219542250443","","","27.865861040701077","0.9609975849120347","27.79371808529031","0.07927899365722138","false","0.2","true","3","23"
"32","B8","false","BWR-5947-1","ICR2_M","UNKNOWN","FAM","NFQ-MGB","Amp","1.3203891894369557","","","27.667768599404432","0.8871303872497422","27.45054263889309","0.1748851240963135","false","0.2","true","3","22"
"33","B9","false","BWR-5935-1","ICR2_UM","UNKNOWN","VIC","NFQ-MGB","Amp","1.3117907843349026","","","27.403972171756678","0.9755373945646741","27.646069684243542","0.23885899010820769","false","0.2","true","3","21"
"33","B9","false","BWR-5935-1","ICR2_M","UNKNOWN","FAM","NFQ-MGB","Amp","1.3269610590783099","","","27.47579529168477","0.8376943618351985","27.649717409981236","0.2714867713120011","false","0.2","true","3","20"
"34","B10","false","BWR-5935-1","ICR2_UM","UNKNOWN","VIC","NFQ-MGB","Amp","1.3077445558043128","","","27.6403294776934","0.9688639554429096","27.646069684243542","0.23885899010820769","false","0.2","true","3","22"
"34","B10","false","BWR-5935-1","ICR2_M","UNKNOWN","FAM","NFQ-MGB","Amp","1.339790800650704","","","27.55477925558378","0.8299033247771403","27.649717409981236","0.2714867713120011","false","0.2","true","3","21"
"35","B11","false","BWR-5935-1","ICR2_UM","UNKNOWN","VIC","NFQ-MGB","Amp","1.3092293037691192","","","27.567744967282835","0.9882856445039419","27.646069684243542","0.23885899010820769","false","0.2","true","3","22"
"35","B11","false","BWR-5935-1","ICR2_M","UNKNOWN","FAM","NFQ-MGB","Amp","1.335089319524751","","","27.514230780006876","0.8284117147436088","27.649717409981236","0.2714867713120011","false","0.2","true","3","22"
"36","B12","false","BWR-5935-1","ICR2_UM","UNKNOWN","VIC","NFQ-MGB","Amp","1.3047618100760898","","","27.972232120241255","0.9749842148382495","27.646069684243542","0.23885899010820769","false","0.2","true","3","23"
"36","B12","false","BWR-5935-1","ICR2_M","UNKNOWN","FAM","NFQ-MGB","Amp","1.3246299513655568","","","28.054064312649516","0.9111541742552977","27.649717409981236","0.2714867713120011","false","0.2","true","3","23"
"49","C1","false","Control B","ICR1_M","UNKNOWN","FAM","NFQ-MGB","Amp","1.1766282403697066","","","28.618587312219162","0.7933329209843125","28.826054637387415","0.17460748924580186","false","0.2","true","3","24"
"49","C1","false","Control B","ICR1_UM","UNKNOWN","VIC","NFQ-MGB","Amp","1.0426161269220298","","","29.756209723928453","0.8416799839967847","29.80534424522406","0.06729180775894658","false","0.2","true","3","23"
"50","C2","false","Control B","ICR1_M","UNKNOWN","FAM","NFQ-MGB","Amp","1.163280737605367","","","28.744559946656267","0.792023943103764","28.826054637387415","0.17460748924580186","false","0.2","true","3","22"
"50","C2","false","Control B","ICR1_UM","UNKNOWN","VIC","NFQ-MGB","Amp","1.050163985853508","","","29.783159235367254","0.8574549797210326","29.80534424522406","0.06729180775894658","false","0.2","true","3","23"
"51","C3","false","Control B","ICR1_M","UNKNOWN","FAM","NFQ-MGB","Amp","1.1545331329953203","","","28.966680327157803","0.7600242663802238","28.826054637387415","0.17460748924580186","false","0.2","true","3","24"
"51","C3","false","Control B","ICR1_UM","UNKNOWN","VIC","NFQ-MGB","Amp","1.049709537202127","","","29.777227257329834","0.8052417955397365","29.80534424522406","0.06729180775894658","false","0.2","true","3","23"
"52","C4","false","Control B","ICR1_M","UNKNOWN","FAM","NFQ-MGB","Amp","1.183355906562827","","","28.97439096351642","0.8135469623416232","28.826054637387415","0.17460748924580186","false","0.2","true","3","22"
"52","C4","false","Control B","ICR1_UM","UNKNOWN","VIC","NFQ-MGB","Amp","1.05023506487844","","","29.9047807642707","0.887509080544389","29.80534424522406","0.06729180775894658","false","0.2","true","3","23"
"53","C5","false","BWR-5949-QA","ICR1_M","UNKNOWN","FAM","NFQ-MGB","Amp","1.1808559449841818","","","28.240395820182393","0.7536058290293194","28.274595123207153","0.029024343323066464","false","0.2","true","3","22"
"53","C5","false","BWR-5949-QA","ICR1_UM","UNKNOWN","VIC","NFQ-MGB","Amp","1.0584859816883214","","","28.97251323831308","0.8846153071783429","28.95424097159264","0.030411037009457048","false","0.2","true","3","23"
"54","C6","false","BWR-5949-QA","ICR1_M","UNKNOWN","FAM","NFQ-MGB","Amp","1.1945186389091071","","","28.277252529353397","0.776931599084863","28.274595123207153","0.029024343323066464","false","0.2","true","3","22"
"54","C6","false","BWR-5949-QA","ICR1_UM","UNKNOWN","VIC","NFQ-MGB","Amp","1.0769741550382956","","","28.918537102476638","0.861846943564931","28.95424097159264","0.030411037009457048","false","0.2","true","3","22"
"55","C7","false","BWR-5949-QA","ICR1_M","UNKNOWN","FAM","NFQ-MGB","Amp","1.1933200546346108","","","28.26971252773683","0.7194699087720268","28.274595123207153","0.029024343323066464","false","0.2","true","3","22"
"55","C7","false","BWR-5949-QA","ICR1_UM","UNKNOWN","VIC","NFQ-MGB","Amp","1.0814195827397537","","","28.985472557626373","0.8539757342284865","28.95424097159264","0.030411037009457048","false","0.2","true","3","23"
"56","C8","false","BWR-5949-QA","ICR1_M","UNKNOWN","FAM","NFQ-MGB","Amp","1.1838209346312196","","","28.311019615555992","0.7621287330912324","28.274595123207153","0.029024343323066464","false","0.2","true","3","22"
"56","C8","false","BWR-5949-QA","ICR1_UM","UNKNOWN","VIC","NFQ-MGB","Amp","1.0834774118044952","","","28.940440987954474","0.8748592352280083","28.95424097159264","0.030411037009457048","false","0.2","true","3","23"
"57","C9","false","BWR-5936-1","ICR1_M","UNKNOWN","FAM","NFQ-MGB","Amp","1.1736329206481577","","","29.04204048144024","0.7297504662250162","28.97940783811019","0.09045190819290053","false","0.2","true","3","23"
"57","C9","false","BWR-5936-1","ICR1_UM","UNKNOWN","VIC","NFQ-MGB","Amp","1.0417219855404956","","","29.80871543608972","0.8329347701582904","29.613647710001366","0.13310887361196772","false","0.2","true","3","22"
"58","C10","false","BWR-5936-1","ICR1_M","UNKNOWN","FAM","NFQ-MGB","Amp","1.184035329928641","","","28.94298138255568","0.804777156817268","28.97940783811019","0.09045190819290053","false","0.2","true","3","22"
"58","C10","false","BWR-5936-1","ICR1_UM","UNKNOWN","VIC","NFQ-MGB","Amp","1.066726302556754","","","29.576981047582695","0.8804107788163094","29.613647710001366","0.13310887361196772","false","0.2","true","3","23"
"59","C11","false","BWR-5936-1","ICR1_M","UNKNOWN","FAM","NFQ-MGB","Amp","1.1838695583344414","","","28.868961212661418","0.7782501290623163","28.97940783811019","0.09045190819290053","false","0.2","true","3","23"
"59","C11","false","BWR-5936-1","ICR1_UM","UNKNOWN","VIC","NFQ-MGB","Amp","1.0637322761846109","","","29.509823954137197","0.8853428330432657","29.613647710001366","0.13310887361196772","false","0.2","true","3","24"
"60","C12","false","BWR-5936-1","ICR1_M","UNKNOWN","FAM","NFQ-MGB","Amp","1.1788586156848861","","","29.06364827578344","0.7601819454335986","28.97940783811019","0.09045190819290053","false","0.2","true","3","24"
"60","C12","false","BWR-5936-1","ICR1_UM","UNKNOWN","VIC","NFQ-MGB","Amp","1.0717309450027923","","","29.55907040219585","0.8494657840701787","29.613647710001366","0.13310887361196772","false","0.2","true","3","23"
"73","D1","false","Control B","ICR2_UM","UNKNOWN","VIC","NFQ-MGB","Amp","1.3037062431655564","","","27.19302529038216","0.9779553073019778","27.386235656630568","0.30780707163119353","false","0.2","true","3","23"
"73","D1","false","Control B","ICR2_M","UNKNOWN","FAM","NFQ-MGB","Amp","1.3404119832876444","","","27.086435037145954","0.832638979130622","27.30460002347685","0.30324428429018113","false","0.2","true","3","23"
"74","D2","false","Control B","ICR2_UM","UNKNOWN","VIC","NFQ-MGB","Amp","1.296510965937753","","","27.177947823198274","0.9752995796009074","27.386235656630568","0.30780707163119353","false","0.2","true","3","22"
"74","D2","false","Control B","ICR2_M","UNKNOWN","FAM","NFQ-MGB","Amp","1.3261774439997815","","","27.12265249920919","0.823515912512267","27.30460002347685","0.30324428429018113","false","0.2","true","3","21"
"75","D3","false","Control B","ICR2_UM","UNKNOWN","VIC","NFQ-MGB","Amp","1.2954811813371896","","","27.33907236198024","0.9788289750357686","27.386235656630568","0.30780707163119353","false","0.2","true","3","22"
"75","D3","false","Control B","ICR2_M","UNKNOWN","FAM","NFQ-MGB","Amp","1.334918450397769","","","27.264733984639378","0.8347384086355237","27.30460002347685","0.30324428429018113","false","0.2","true","3","20"
"76","D4","false","Control B","ICR2_UM","UNKNOWN","VIC","NFQ-MGB","Amp","1.2748307159753667","","","27.834897150961588","0.9799391674141162","27.386235656630568","0.30780707163119353","false","0.2","true","3","23"
"76","D4","false","Control B","ICR2_M","UNKNOWN","FAM","NFQ-MGB","Amp","1.3157622384328969","","","27.74457857291288","0.8408036997890408","27.30460002347685","0.30324428429018113","false","0.2","true","3","22"
"77","D5","false","BWR-5949-QA","ICR2_UM","UNKNOWN","VIC","NFQ-MGB","Amp","1.307788315647307","","","26.700886924200603","0.9844093779884477","26.7589000385696","0.09783715807357395","false","0.2","true","3","22"
"77","D5","false","BWR-5949-QA","ICR2_M","UNKNOWN","FAM","NFQ-MGB","Amp","1.3305211479221146","","","26.745555208247843","0.8369069322727781","26.761454307750018","0.04247199860080949","false","0.2","true","3","19"
"78","D6","false","BWR-5949-QA","ICR2_UM","UNKNOWN","VIC","NFQ-MGB","Amp","1.3041817829038054","","","26.652798247614825","0.9771539860457898","26.7589000385696","0.09783715807357395","false","0.2","true","3","21"
"78","D6","false","BWR-5949-QA","ICR2_M","UNKNOWN","FAM","NFQ-MGB","Amp","1.3322439103398218","","","26.711562667754485","0.8369350877729852","26.761454307750018","0.04247199860080949","false","0.2","true","3","22"
"79","D7","false","BWR-5949-QA","ICR2_UM","UNKNOWN","VIC","NFQ-MGB","Amp","1.308610332301682","","","26.858654467555702","0.9721684634983577","26.7589000385696","0.09783715807357395","false","0.2","true","3","22"
"79","D7","false","BWR-5949-QA","ICR2_M","UNKNOWN","FAM","NFQ-MGB","Amp","1.3325392896909993","","","26.810246912904518","0.8394921220419274","26.761454307750018","0.04247199860080949","false","0.2","true","3","21"
"80","D8","false","BWR-5949-QA","ICR2_UM","UNKNOWN","VIC","NFQ-MGB","Amp","1.3007881702451234","","","26.82326051490727","0.965293068629799","26.7589000385696","0.09783715807357395","false","0.2","true","3","22"
"80","D8","false","BWR-5949-QA","ICR2_M","UNKNOWN","FAM","NFQ-MGB","Amp","1.3251937869654424","","","26.778452442093226","0.8297089411884546","26.761454307750018","0.04247199860080949","false","0.2","true","3","21"
"81","D9","false","BWR-5936-1","ICR2_UM","UNKNOWN","VIC","NFQ-MGB","Amp","1.3148442711271524","","","27.278652962852618","0.983292636769219","27.410373424143064","0.10604441159002533","false","0.2","true","3","22"
"81","D9","false","BWR-5936-1","ICR2_M","UNKNOWN","FAM","NFQ-MGB","Amp","1.3301077930325274","","","27.234025746308625","0.8592121237406242","27.32994928985574","0.06928795996674794","false","0.2","true","3","20"
"82","D10","false","BWR-5936-1","ICR2_UM","UNKNOWN","VIC","NFQ-MGB","Amp","1.3043597585153826","","","27.370744688172934","0.9765951469273182","27.410373424143064","0.10604441159002533","false","0.2","true","3","22"
"82","D10","false","BWR-5936-1","ICR2_M","UNKNOWN","FAM","NFQ-MGB","Amp","1.3246497165951512","","","27.337525671567413","0.8335257620889946","27.32994928985574","0.06928795996674794","false","0.2","true","3","21"
"83","D11","false","BWR-5936-1","ICR2_UM","UNKNOWN","VIC","NFQ-MGB","Amp","1.3010753754958304","","","27.487824235615633","0.9668016812307006","27.410373424143064","0.10604441159002533","false","0.2","true","3","22"
"83","D11","false","BWR-5936-1","ICR2_M","UNKNOWN","FAM","NFQ-MGB","Amp","1.3216608768828046","","","27.349211769633257","0.8275386621606122","27.32994928985574","0.06928795996674794","false","0.2","true","3","21"
"84","D12","false","BWR-5936-1","ICR2_UM","UNKNOWN","VIC","NFQ-MGB","Amp","1.3201288708318324","","","27.50427180993107","0.9749926093524006","27.410373424143064","0.10604441159002533","false","0.2","true","3","22"
"84","D12","false","BWR-5936-1","ICR2_M","UNKNOWN","FAM","NFQ-MGB","Amp","1.3502585966713099","","","27.399033971913674","0.8349462868065759","27.32994928985574","0.06928795996674794","false","0.2","true","3","22"
"97","E1","false","Control C","ICR1_M","UNKNOWN","FAM","NFQ-MGB","Amp","1.1587981994286354","","","28.85899184962608","0.7789287661144896","28.99165200473106","0.14375665388742803","false","0.2","true","3","23"
"97","E1","false","Control C","ICR1_UM","UNKNOWN","VIC","NFQ-MGB","Amp","1.061382730833409","","","29.673724376358624","0.8909824679516267","29.768539479490173","0.11990963048250644","false","0.2","true","3","23"
"98","E2","false","Control C","ICR1_M","UNKNOWN","FAM","NFQ-MGB","Amp","1.1766801077724176","","","28.897896537549308","0.7843038701412751","28.99165200473106","0.14375665388742803","false","0.2","true","3","22"
"98","E2","false","Control C","ICR1_UM","UNKNOWN","VIC","NFQ-MGB","Amp","1.061416093572637","","","29.658455475026976","0.8529051929798355","29.768539479490173","0.11990963048250644","false","0.2","true","3","23"
"99","E3","false","Control C","ICR1_M","UNKNOWN","FAM","NFQ-MGB","Amp","1.1501015809711843","","","29.034230129397937","0.7821509202403591","28.99165200473106","0.14375665388742803","false","0.2","true","3","24"
"99","E3","false","Control C","ICR1_UM","UNKNOWN","VIC","NFQ-MGB","Amp","1.0578536811994612","","","29.848243215205667","0.8337488552608413","29.768539479490173","0.11990963048250644","false","0.2","true","3","24"
"100","E4","false","Control C","ICR1_M","UNKNOWN","FAM","NFQ-MGB","Amp","1.1786625244307571","","","29.17548950235092","0.8040120162688501","28.99165200473106","0.14375665388742803","false","0.2","true","3","23"
"100","E4","false","Control C","ICR1_UM","UNKNOWN","VIC","NFQ-MGB","Amp","1.0594361124125207","","","29.893734851369416","0.8813758944739025","29.768539479490173","0.11990963048250644","false","0.2","true","3","24"
"101","E5","false","BWR-5929-Q","ICR1_M","UNKNOWN","FAM","NFQ-MGB","Amp","1.1807788895927445","","","27.618757828654786","0.7563799883168988","27.886703127869154","0.1907123048825559","false","0.2","true","3","22"
"101","E5","false","BWR-5929-Q","ICR1_UM","UNKNOWN","VIC","NFQ-MGB","Amp","1.0550239004823772","","","28.47615545758954","0.8731127963617032","28.60832267823372","0.12138937073608798","false","0.2","true","3","21"
"102","E6","false","BWR-5929-Q","ICR1_M","UNKNOWN","FAM","NFQ-MGB","Amp","1.1831198997996732","","","28.066737084049798","0.747028030462187","27.886703127869154","0.1907123048825559","false","0.2","true","3","22"
"102","E6","false","BWR-5929-Q","ICR1_UM","UNKNOWN","VIC","NFQ-MGB","Amp","1.0572012349939544","","","28.768345214676717","0.8607066472616794","28.60832267823372","0.12138937073608798","false","0.2","true","3","23"
"103","E7","false","BWR-5929-Q","ICR1_M","UNKNOWN","FAM","NFQ-MGB","Amp","1.1882632758792","","","27.953489029722498","0.7226698293900524","27.886703127869154","0.1907123048825559","false","0.2","true","3","22"
"103","E7","false","BWR-5929-Q","ICR1_UM","UNKNOWN","VIC","NFQ-MGB","Amp","1.0638752561156282","","","28.613666661314944","0.8078682484879253","28.60832267823372","0.12138937073608798","false","0.2","true","3","22"
"104","E8","false","BWR-5929-Q","ICR1_M","UNKNOWN","FAM","NFQ-MGB","Amp","1.1917127944498713","","","27.907828569049542","0.7798920855403906","27.886703127869154","0.1907123048825559","false","0.2","true","3","22"
"104","E8","false","BWR-5929-Q","ICR1_UM","UNKNOWN","VIC","NFQ-MGB","Amp","1.0735901372321617","","","28.575123379353663","0.8515253236370934","28.60832267823372","0.12138937073608798","false","0.2","true","3","22"
"105","E9","false","BWR-5959-QA","ICR1_M","UNKNOWN","FAM","NFQ-MGB","Amp","1.1607212350166665","","","27.351766582685947","0.7099903477685329","27.471049619924358","0.09159171627393117","false","0.2","true","3","22"
"105","E9","false","BWR-5959-QA","ICR1_UM","UNKNOWN","VIC","NFQ-MGB","Amp","1.0612740224962496","","","27.881128124246985","0.8080477248390121","28.01835017192073","0.12611069910320644","false","0.2","true","3","22"
"106","E10","false","BWR-5959-QA","ICR1_M","UNKNOWN","FAM","NFQ-MGB","Amp","1.1682880803613083","","","27.499358529135844","0.7264736303985954","27.471049619924358","0.09159171627393117","false","0.2","true","3","22"
"106","E10","false","BWR-5959-QA","ICR1_UM","UNKNOWN","VIC","NFQ-MGB","Amp","1.0712680536136225","","","28.071773795310524","0.8003474377689995","28.01835017192073","0.12611069910320644","false","0.2","true","3","21"
